Mod:Item:MetaData, Localized Name
randomthings:translucentluminousblock:0, 通透荧光白色方块
randomthings:translucentluminousblock:1, 通透荧光橙色方块
randomthings:translucentluminousblock:2, 通透荧光品红色方块
randomthings:translucentluminousblock:3, 通透荧光淡蓝色方块
randomthings:translucentluminousblock:4, 通透荧光黄色方块
randomthings:translucentluminousblock:5, 通透荧光黄绿色方块
randomthings:translucentluminousblock:6, 通透荧光粉色方块
randomthings:translucentluminousblock:7, 通透荧光灰色方块
randomthings:translucentluminousblock:8, 通透荧光淡灰色方块
randomthings:translucentluminousblock:9, 通透荧光青色方块
randomthings:translucentluminousblock:10, 通透荧光紫色方块
randomthings:translucentluminousblock:11, 通透荧光蓝色方块
randomthings:translucentluminousblock:12, 通透荧光棕色方块
randomthings:translucentluminousblock:13, 通透荧光绿色方块
randomthings:translucentluminousblock:14, 通透荧光红色方块
randomthings:translucentluminousblock:15, 通透荧光黑色方块
randomthings:inventoryrerouter, 物流管理器
randomthings:slimecube, §a粘液立方体§7
randomthings:peacecandle, 和平蜡烛
randomthings:notificationinterface, 通知接口
randomthings:glowingmushroom, 荧光菇
randomthings:inventorytester, 物流检测器
randomthings:superlubricentstone, 超级滑滑石
randomthings:globalchatdetector, 全局聊天检测器
randomthings:triggerglass, 感知玻璃
randomthings:blockdestabilizer, 方块去稳定器
randomthings:lotus, 莲花
randomthings:ancientbrick, 远古石砖[内部]
randomthings:soundbox, 音箱
randomthings:sounddampener, 隔音器
randomthings:diaphanousblock, 通透方块
randomthings:sidedredstone, 单向红石块
randomthings:spectrelens, 通灵镜片
randomthings:spectreenergyinjector, 通灵能量注入器
randomthings:plate_processing, 集成运输板
randomthings:spectrecoil_normal, 通灵线圈
randomthings:spectrecoil_redstone, 红石通灵线圈
randomthings:spectrecoil_ender, 末影通灵线圈
randomthings:spectrecoil_number, Nr. %s通灵线圈
randomthings:spectrecoil_genesis, 创造模式通灵线圈
randomthings:advancedredstonerepeater, 高级红石中继器
randomthings:advancedredstonetorch_on, 高级红石火把
randomthings:floobrick, 飞路砖
randomthings:spectreplank, 通灵木板
randomthings:spectresapling, 通灵树苗
randomthings:spectrelog, 通灵原木
randomthings:spectreleaf, 通灵树叶
randomthings:itemcollector, 物品收集器
randomthings:advanceditemcollector, 高级物品收集器
randomthings:naturecore, 自然核心
randomthings:biomestone:0, 自然感知圆石
randomthings:biomestone:1, 自然感知石头
randomthings:biomestone:2, 自然感知石砖
randomthings:biomestone:3, 自然感知裂石砖
randomthings:biomestone:4, 自然感知錾制石砖
randomthings:biomeglass, 自然感知玻璃
randomthings:coloredgrass:0, 白色草方块
randomthings:coloredgrass:1, 橙色草方块
randomthings:coloredgrass:2, 品红色草方块
randomthings:coloredgrass:3, 淡蓝色草方块
randomthings:coloredgrass:4, 黄色草方块
randomthings:coloredgrass:5, 黄绿色草方块
randomthings:coloredgrass:6, 粉色草方块
randomthings:coloredgrass:7, 灰色草方块
randomthings:coloredgrass:8, 淡灰色草方块
randomthings:coloredgrass:9, 青色草方块
randomthings:coloredgrass:10, 紫色草方块
randomthings:coloredgrass:11, 蓝色草方块
randomthings:coloredgrass:12, 棕色草方块
randomthings:coloredgrass:13, 绿色草方块
randomthings:coloredgrass:14, 红色草方块
randomthings:coloredgrass:15, 黑色草方块
randomthings:spectrecore, 通灵核心
randomthings:rainbowlamp, 彩虹灯
randomthings:basicredstoneinterface, 基础红石接口
randomthings:advancedredstoneinterface, 高级红石接口
randomthings:stainedbrick:0, 白色染色砖块
randomthings:stainedbrick:1, 橙色染色砖块
randomthings:stainedbrick:2, 品红色染色砖块
randomthings:stainedbrick:3, 淡蓝色染色砖块
randomthings:stainedbrick:4, 黄色染色砖块
randomthings:stainedbrick:5, 黄绿色染色砖块
randomthings:stainedbrick:6, 粉色染色砖块
randomthings:stainedbrick:7, 灰色染色砖块
randomthings:stainedbrick:8, 淡灰色染色砖块
randomthings:stainedbrick:9, 青色染色砖块
randomthings:stainedbrick:10, 紫色染色砖块
randomthings:stainedbrick:11, 蓝色染色砖块
randomthings:stainedbrick:12, 棕色染色砖块
randomthings:stainedbrick:13, 绿色染色砖块
randomthings:stainedbrick:14, 红色染色砖块
randomthings:stainedbrick:15, 黑色染色砖块
randomthings:luminousstainedbrick:0, 荧光白色染色砖块
randomthings:luminousstainedbrick:1, 荧光橙色染色砖块
randomthings:luminousstainedbrick:2, 荧光品红色染色砖块
randomthings:luminousstainedbrick:3, 荧光淡蓝色染色砖块
randomthings:luminousstainedbrick:4, 荧光黄色染色砖块
randomthings:luminousstainedbrick:5, 荧光黄绿色染色砖块
randomthings:luminousstainedbrick:6, 荧光粉色染色砖块
randomthings:luminousstainedbrick:7, 荧光灰色染色砖块
randomthings:luminousstainedbrick:8, 荧光淡灰色染色砖块
randomthings:luminousstainedbrick:9, 荧光青色染色砖块
randomthings:luminousstainedbrick:10, 荧光紫色染色砖块
randomthings:luminousstainedbrick:11, 荧光蓝色染色砖块
randomthings:luminousstainedbrick:12, 荧光棕色染色砖块
randomthings:luminousstainedbrick:13, 荧光绿色染色砖块
randomthings:luminousstainedbrick:14, 荧光红色染色砖块
randomthings:luminousstainedbrick:15, 荧光黑色染色砖块
randomthings:plate_redirector, 重定向式运输板
randomthings:plate_filteredredirector, 重定向式运输板（过滤）
randomthings:plate_redstone, 红石控制运输板
randomthings:plate_corrector, 校准式运输板
randomthings:plate_itemsealer, 密封式运输板（物品）
randomthings:plate_itemrejuvenator, 物品重置运输板
randomthings:plate_accelerator, 加速式运输板
randomthings:plate_accelerator_directional, 定向加速式运输板
randomthings:plate_bouncy, 弹性运输板
randomthings:plate_collection, 收集式运输板
randomthings:plate_extraction, 抽取式运输板
randomthings:stableenderpearl, 稳态末影珍珠
randomthings:biomecrystal, 生物群系水晶
randomthings:positionfilter, 方位过滤器
randomthings:summoningpendulum, 召唤师灵摆
randomthings:beans:0, 豆子
randomthings:beans:1, 次级魔豆
randomthings:beans:2, 魔豆
randomthings:beanstew, 豆汤
randomthings:redstonetool, 红石工具
randomthings:waterwalkingboots, 水上漫步者之靴
randomthings:dungeonchestgenerator, 战利品生成器
randomthings:lavacharm, 熔岩魔符
randomthings:lavawader, 熔岩魔靴
randomthings:obsidianskull, 黑曜石头颅
randomthings:obsidianskullring, 黑曜石头颅指环
randomthings:obsidianwaterwalkingboots, 水上漫步者之靴（黑曜石）
randomthings:magichood, 魔法风帽
randomthings:imbue:0, 火焰灌注药水
randomthings:imbue:1, 毒液灌注药水
randomthings:imbue:2, 经验灌注药水
randomthings:imbue:3, 凋零灌注药水
randomthings:bottleofair, 瓶装空气
randomthings:rezstone, 血石
randomthings:enderletter, 末影邮件
randomthings:entityfilter, 实体过滤器
randomthings:ingredient:0, 纤毛孢子
randomthings:ingredient:1, 恶魔之泪
randomthings:ingredient:2, 灵气
randomthings:ingredient:3, 通灵之铁
randomthings:ingredient:4, 生物群系传感器
randomthings:ingredient:5, 荧光粉
randomthings:ingredient:6, 超级滑滑剂
randomthings:ingredient:7, 飞路粉
randomthings:ingredient:8, 运输板基板
randomthings:ingredient:9, 华丽的绿宝石
randomthings:ingredient:10, 莲花
randomthings:ingredient:11, 金蛋
randomthings:ingredient:12, 通灵线
randomthings:ingredient:13, 熄光粉
randomthings:itemfilter, 物品过滤器
randomthings:redstoneactivator, 红石触发器
randomthings:redstoneremote, 远程红石触发器
randomthings:goldencompass, 黄金指南针
randomthings:blazeandsteel, 灼炎打火石
randomthings:runepattern, 符文图纸
randomthings:superlubricentboots, 超级滑滑靴
randomthings:floosign, 飞路告示牌
randomthings:idcard, 身份证
randomthings:emeraldcompass, 绿宝石指南针
randomthings:flootoken, 飞路令牌
randomthings:portkey, 传送钥匙
randomthings:lotusseeds, 莲子
randomthings:soundpattern, 声音模块
randomthings:soundrecorder, 录音机
randomthings:portablesounddampener, 便携式隔音器
randomthings:escaperope, 逃生绳
randomthings:weatheregg:0, 天气胶囊<晴天>
randomthings:weatheregg:1, 天气胶囊<雨天>
randomthings:weatheregg:2, 天气胶囊<雷暴>
randomthings:enderbucket, 末影桶
randomthings:reinforcedenderbucket, 强化末影桶
randomthings:chunkanalyzer, 区块分析器
randomthings:floopouch, 飞路粉袋
randomthings:timeinabottle, 时间之瓶
randomthings:spectreilluminator, 通灵光源
randomthings:spectrecharger:0, 通灵充能器
randomthings:spectrecharger:1, 红石通灵充能器
randomthings:spectrecharger:2, 末影通灵充能器
randomthings:spectrecharger:3, 创世纪通灵充能器
randomthings:eclipsedclock, 月蚀计
randomthings:grassseeds:0, 草籽
randomthings:grassseeds:1, 白色草籽
randomthings:grassseeds:2, 橙色草籽
randomthings:grassseeds:3, 品红色草籽
randomthings:grassseeds:4, 淡蓝色草籽
randomthings:grassseeds:5, 黄色草籽
randomthings:grassseeds:6, 黄绿色草籽
randomthings:grassseeds:7, 粉色草籽
randomthings:grassseeds:8, 灰色草籽
randomthings:grassseeds:9, 淡灰色草籽
randomthings:grassseeds:10, 青色草籽
randomthings:grassseeds:11, 紫色草籽
randomthings:grassseeds:12, 蓝色草籽
randomthings:grassseeds:13, 棕色草籽
randomthings:grassseeds:14, 绿色草籽
randomthings:grassseeds:15, 红色草籽
randomthings:grassseeds:16, 黑色草籽
randomthings:spectrekey, 通灵之钥
randomthings:spectreanchor, 通灵锚
randomthings:spectresword, 通灵之剑
randomthings:spectrepickaxe, 通灵之镐
randomthings:spectreaxe, 通灵之斧
randomthings:spectreshovel, 通灵之锹
randomthings:runedust:0, 白色符文粉
randomthings:runedust:1, 橙色符文粉
randomthings:runedust:2, 品红色符文粉
randomthings:runedust:3, 淡蓝色符文粉
randomthings:runedust:4, 黄色符文粉
randomthings:runedust:5, 黄绿色符文粉
randomthings:runedust:6, 粉色符文粉
randomthings:runedust:7, 灰色符文粉
randomthings:runedust:8, 淡灰色符文粉
randomthings:runedust:9, 青色符文粉
randomthings:runedust:10, 紫色符文粉
randomthings:runedust:11, 蓝色符文粉
randomthings:runedust:12, 棕色符文粉
randomthings:runedust:13, 绿色符文粉
randomthings:runedust:14, 红色符文粉
randomthings:runedust:15, 黑色符文粉
scalinghealth:crystalore, 心晶矿石
clickmachine:auto_clicker, 自动点击器
forge:bucketfilled, %s桶
advancedmortars:mortar:0, 木研钵
advancedmortars:mortar:1, 石研钵
advancedmortars:mortar:2, 铁研钵
advancedmortars:mortar:3, 钻石研钵
advancedmortars:mortar:4, 金研钵
advancedmortars:mortar:5, 黑曜石研钵
advancedmortars:mortar:6, 绿宝石研钵
appliedenergistics2:quartz_ore, 赛特斯石英矿石
appliedenergistics2:charged_quartz_ore, 充能赛特斯石英矿石
appliedenergistics2:matrix_frame, 矩阵框架
appliedenergistics2:quartz_block, 赛特斯石英块
appliedenergistics2:quartz_pillar, 竖纹赛特斯石英块
appliedenergistics2:chiseled_quartz_block, 錾制赛特斯石英块
appliedenergistics2:quartz_glass, 石英玻璃
appliedenergistics2:quartz_vibrant_glass, 聚能石英玻璃
appliedenergistics2:quartz_fixture, 充能石英火把
appliedenergistics2:fluix_block, 福鲁伊克斯块
appliedenergistics2:sky_stone_block, 陨石
appliedenergistics2:smooth_sky_stone_block, 陨石块
appliedenergistics2:sky_stone_brick, 陨石石砖
appliedenergistics2:sky_stone_small_brick, 陨石砖块
appliedenergistics2:sky_stone_chest, 陨石箱子
appliedenergistics2:smooth_sky_stone_chest, 陨石块箱子
appliedenergistics2:sky_compass, 陨石罗盘
appliedenergistics2:grindstone, 石英磨具
appliedenergistics2:crank, 木质曲柄
appliedenergistics2:inscriber, 压印器
appliedenergistics2:wireless_access_point, ME无线访问点
appliedenergistics2:charger, 充能器
appliedenergistics2:tiny_tnt, 迷你TNT
appliedenergistics2:security_station, ME安全终端
appliedenergistics2:quantum_ring, ME量子环
appliedenergistics2:quantum_link, ME量子链接仓
appliedenergistics2:spatial_pylon, 空间塔
appliedenergistics2:spatial_io_port, 空间IO端口
appliedenergistics2:drive, ME驱动器
appliedenergistics2:chest, ME箱子
appliedenergistics2:interface, ME接口
appliedenergistics2:fluid_interface, ME流体接口
appliedenergistics2:cell_workbench, 元件工作台
appliedenergistics2:io_port, ME-IO端口
appliedenergistics2:condenser, 物质聚合器
appliedenergistics2:energy_acceptor, 能源接收器
appliedenergistics2:vibration_chamber, 谐振仓
appliedenergistics2:quartz_growth_accelerator, 晶体催生器
appliedenergistics2:energy_cell, 能源元件
appliedenergistics2:dense_energy_cell, 致密能源元件
appliedenergistics2:creative_energy_cell, 创造能源元件
appliedenergistics2:crafting_unit, 合成单元
appliedenergistics2:crafting_accelerator, 并行处理单元
appliedenergistics2:crafting_storage_1k, 1k合成存储器
appliedenergistics2:crafting_storage_4k, 4k合成存储器
appliedenergistics2:crafting_storage_16k, 16k合成存储器
appliedenergistics2:crafting_storage_64k, 64k合成存储器
appliedenergistics2:crafting_monitor, 合成监控器
appliedenergistics2:molecular_assembler, 分子装配室
appliedenergistics2:light_detector, 光亮探测器
appliedenergistics2:paint, tile.appliedenergistics2.paint.name
appliedenergistics2:sky_stone_stairs, 陨石楼梯
appliedenergistics2:smooth_sky_stone_stairs, 陨石块楼梯
appliedenergistics2:sky_stone_brick_stairs, 陨石石砖楼梯
appliedenergistics2:sky_stone_small_brick_stairs, 陨石砖块楼梯
appliedenergistics2:fluix_stairs, 福鲁伊克斯楼梯
appliedenergistics2:quartz_stairs, 赛特斯石英楼梯
appliedenergistics2:chiseled_quartz_stairs, 錾制赛特斯石英楼梯
appliedenergistics2:quartz_pillar_stairs, 竖纹赛特斯石英楼梯
appliedenergistics2:cable_bus, AE2线缆和（或）总线
appliedenergistics2:sky_stone_slab:0, 陨石台阶
appliedenergistics2:smooth_sky_stone_slab:0, 陨石块台阶
appliedenergistics2:sky_stone_brick_slab:0, 陨石石砖台阶
appliedenergistics2:sky_stone_small_brick_slab:0, 陨石砖块台阶
appliedenergistics2:fluix_slab:0, 福鲁伊克斯台阶
appliedenergistics2:quartz_slab:0, 赛特斯石英台阶
appliedenergistics2:chiseled_quartz_slab:0, 錾制赛特斯石英台阶
appliedenergistics2:quartz_pillar_slab:0, 竖纹赛特斯石英台阶
appliedenergistics2:certus_quartz_axe, 赛特斯石英斧
appliedenergistics2:certus_quartz_hoe, 赛特斯石英锄
appliedenergistics2:certus_quartz_spade, 赛特斯石英锹
appliedenergistics2:certus_quartz_pickaxe, 赛特斯石英镐
appliedenergistics2:certus_quartz_sword, 赛特斯石英剑
appliedenergistics2:certus_quartz_wrench, 赛特斯石英扳手
appliedenergistics2:certus_quartz_cutting_knife, 赛特斯石英切割刀
appliedenergistics2:nether_quartz_axe, 下界石英斧
appliedenergistics2:nether_quartz_hoe, 下界石英锄
appliedenergistics2:nether_quartz_spade, 下界石英锹
appliedenergistics2:nether_quartz_pickaxe, 下界石英镐
appliedenergistics2:nether_quartz_sword, 下界石英剑
appliedenergistics2:nether_quartz_wrench, 下界石英扳手
appliedenergistics2:nether_quartz_cutting_knife, 下界石英切割刀
appliedenergistics2:entropy_manipulator, 熵变机械臂
appliedenergistics2:wireless_terminal, 无线终端
appliedenergistics2:charged_staff, 充能手杖
appliedenergistics2:matter_cannon, 物质炮
appliedenergistics2:portable_cell, 便携元件
appliedenergistics2:color_applicator, 染色器
appliedenergistics2:biometric_card, 身份卡
appliedenergistics2:memory_card, 内存卡
appliedenergistics2:network_tool, 网络工具
appliedenergistics2:creative_storage_cell, 创造型ME存储元件
appliedenergistics2:view_cell, 显示元件
appliedenergistics2:storage_cell_1k, 1k-ME存储元件
appliedenergistics2:storage_cell_4k, 4k-ME存储元件
appliedenergistics2:storage_cell_16k, 16k-ME存储元件
appliedenergistics2:storage_cell_64k, 64k-ME存储元件
appliedenergistics2:fluid_storage_cell_1k, 1k-ME流体存储元件
appliedenergistics2:fluid_storage_cell_4k, 4k-ME流体存储元件
appliedenergistics2:fluid_storage_cell_16k, 16k-ME流体存储元件
appliedenergistics2:fluid_storage_cell_64k, 64k-ME流体存储元件
appliedenergistics2:spatial_storage_cell_2_cubed, 2³-空间存储元件
appliedenergistics2:spatial_storage_cell_16_cubed, 16³-空间存储元件
appliedenergistics2:spatial_storage_cell_128_cubed, 128³-空间存储元件
appliedenergistics2:crystal_seed:0, 赛特斯石英种子
appliedenergistics2:crystal_seed:600, 下界石英种子
appliedenergistics2:crystal_seed:1200, 福鲁伊克斯种子
appliedenergistics2:crystal_seed:0, 赛特斯石英种子
appliedenergistics2:crystal_seed:600, 下界石英种子
appliedenergistics2:crystal_seed:1200, 福鲁伊克斯种子
appliedenergistics2:crystal_seed:0, 赛特斯石英种子
appliedenergistics2:crystal_seed:600, 下界石英种子
appliedenergistics2:crystal_seed:1200, 福鲁伊克斯种子
appliedenergistics2:encoded_pattern, 编码样板
appliedenergistics2:paint_ball:0, 染色球 - 白色
appliedenergistics2:paint_ball:1, 染色球 - 橙色
appliedenergistics2:paint_ball:2, 染色球 - 品红色
appliedenergistics2:paint_ball:3, 染色球 - 淡蓝色
appliedenergistics2:paint_ball:4, 染色球 - 黄色
appliedenergistics2:paint_ball:5, 染色球 - 黄绿色
appliedenergistics2:paint_ball:6, 染色球 - 粉红色
appliedenergistics2:paint_ball:7, 染色球 - 灰色
appliedenergistics2:paint_ball:8, 染色球 - 淡灰色
appliedenergistics2:paint_ball:9, 染色球 - 青色
appliedenergistics2:paint_ball:10, 染色球 - 紫色
appliedenergistics2:paint_ball:11, 染色球 - 蓝色
appliedenergistics2:paint_ball:12, 染色球 - 棕色
appliedenergistics2:paint_ball:13, 染色球 - 绿色
appliedenergistics2:paint_ball:14, 染色球 - 红色
appliedenergistics2:paint_ball:15, 染色球 - 黑色
appliedenergistics2:paint_ball:20, 染色球 - 光通 白色
appliedenergistics2:paint_ball:21, 染色球 - 光通 橙色
appliedenergistics2:paint_ball:22, 染色球 - 光通 品红色
appliedenergistics2:paint_ball:23, 染色球 - 光通 淡蓝色
appliedenergistics2:paint_ball:24, 染色球 - 光通 黄色
appliedenergistics2:paint_ball:25, 染色球 - 光通 黄绿色
appliedenergistics2:paint_ball:26, 染色球 - 光通 粉红色
appliedenergistics2:paint_ball:27, 染色球 - 光通 灰色
appliedenergistics2:paint_ball:28, 染色球 - 光通 淡灰色
appliedenergistics2:paint_ball:29, 染色球 - 光通 青色
appliedenergistics2:paint_ball:30, 染色球 - 光通 紫色
appliedenergistics2:paint_ball:31, 染色球 - 光通 蓝色
appliedenergistics2:paint_ball:32, 染色球 - 光通 棕色
appliedenergistics2:paint_ball:33, 染色球 - 光通 绿色
appliedenergistics2:paint_ball:34, 染色球 - 光通 红色
appliedenergistics2:paint_ball:35, 染色球 - 光通 黑色
appliedenergistics2:dummy_fluid_item, item.appliedenergistics2.dummy_fluid_item.name
appliedenergistics2:material:28, 高级卡
appliedenergistics2:material:44, 破坏核心
appliedenergistics2:material:25, 基础卡
appliedenergistics2:material:52, 空白样板
appliedenergistics2:material:23, 运算处理器
appliedenergistics2:material:13, 运算压印模板
appliedenergistics2:material:16, 运算电路板
appliedenergistics2:material:27, 容量卡
appliedenergistics2:material:53, 合成卡
appliedenergistics2:material:29, 模糊卡
appliedenergistics2:material:31, 反相卡
appliedenergistics2:material:26, 红石卡
appliedenergistics2:material:30, 加速卡
appliedenergistics2:material:34, 128³-空间组件
appliedenergistics2:material:37, 16k-ME存储组件
appliedenergistics2:material:33, 16³-空间组件
appliedenergistics2:material:35, 1k-ME存储组件
appliedenergistics2:material:32, 2³-空间组件
appliedenergistics2:material:36, 4k-ME存储组件
appliedenergistics2:material:38, 64k-ME存储组件
appliedenergistics2:material:0, 赛特斯石英水晶
appliedenergistics2:material:1, 充能赛特斯石英水晶
appliedenergistics2:material:2, 赛特斯石英粉
appliedenergistics2:material:39, ME存储外壳
appliedenergistics2:material:46, 末影粉
appliedenergistics2:material:24, 工程处理器
appliedenergistics2:material:14, 工程压印模板
appliedenergistics2:material:17, 工程电路板
appliedenergistics2:material:4, 面粉
appliedenergistics2:material:56, 16k-ME流体存储组件
appliedenergistics2:material:54, 1k-ME流体存储组件
appliedenergistics2:material:55, 4k-ME流体存储组件
appliedenergistics2:material:57, 64k-ME流体存储组件
appliedenergistics2:material:7, 福鲁伊克斯水晶
appliedenergistics2:material:8, 福鲁伊克斯粉
appliedenergistics2:material:9, 福鲁伊克斯珍珠
appliedenergistics2:material:43, 成型核心
appliedenergistics2:material:51, 金粉
appliedenergistics2:material:49, 铁粉
appliedenergistics2:material:22, 逻辑处理器
appliedenergistics2:material:15, 逻辑压印模板
appliedenergistics2:material:18, 逻辑电路板
appliedenergistics2:material:6, 物质球
appliedenergistics2:material:21, 名称压印模板
appliedenergistics2:material:3, 下界石英粉
appliedenergistics2:material:10, 高纯赛特斯石英水晶
appliedenergistics2:material:12, 高纯福鲁伊克斯水晶
appliedenergistics2:material:11, 高纯下界石英水晶
appliedenergistics2:material:48, 量子缠绕态奇点
appliedenergistics2:material:5, 硅
appliedenergistics2:material:19, 硅压印模板
appliedenergistics2:material:20, 硅板
appliedenergistics2:material:47, 奇点
appliedenergistics2:material:45, 陨石粉
appliedenergistics2:material:41, 无线接收器
appliedenergistics2:material:42, 无线信号增幅器
appliedenergistics2:material:40, 木齿轮
appliedenergistics2:part:300, ME破坏面板
appliedenergistics2:part:120, 线缆锚
appliedenergistics2:part:20, ME包层线缆 - 白色
appliedenergistics2:part:21, ME包层线缆 - 橙色
appliedenergistics2:part:22, ME包层线缆 - 品红色
appliedenergistics2:part:23, ME包层线缆 - 淡蓝色
appliedenergistics2:part:24, ME包层线缆 - 黄色
appliedenergistics2:part:25, ME包层线缆 - 黄绿色
appliedenergistics2:part:26, ME包层线缆 - 粉红色
appliedenergistics2:part:27, ME包层线缆 - 灰色
appliedenergistics2:part:28, ME包层线缆 - 淡灰色
appliedenergistics2:part:29, ME包层线缆 - 青色
appliedenergistics2:part:30, ME包层线缆 - 紫色
appliedenergistics2:part:31, ME包层线缆 - 蓝色
appliedenergistics2:part:32, ME包层线缆 - 棕色
appliedenergistics2:part:33, ME包层线缆 - 绿色
appliedenergistics2:part:34, ME包层线缆 - 红色
appliedenergistics2:part:35, ME包层线缆 - 黑色
appliedenergistics2:part:36, ME包层线缆 - 福鲁伊克斯色
appliedenergistics2:part:0, ME玻璃线缆 - 白色
appliedenergistics2:part:1, ME玻璃线缆 - 橙色
appliedenergistics2:part:2, ME玻璃线缆 - 品红色
appliedenergistics2:part:3, ME玻璃线缆 - 淡蓝色
appliedenergistics2:part:4, ME玻璃线缆 - 黄色
appliedenergistics2:part:5, ME玻璃线缆 - 黄绿色
appliedenergistics2:part:6, ME玻璃线缆 - 粉红色
appliedenergistics2:part:7, ME玻璃线缆 - 灰色
appliedenergistics2:part:8, ME玻璃线缆 - 淡灰色
appliedenergistics2:part:9, ME玻璃线缆 - 青色
appliedenergistics2:part:10, ME玻璃线缆 - 紫色
appliedenergistics2:part:11, ME玻璃线缆 - 蓝色
appliedenergistics2:part:12, ME玻璃线缆 - 棕色
appliedenergistics2:part:13, ME玻璃线缆 - 绿色
appliedenergistics2:part:14, ME玻璃线缆 - 红色
appliedenergistics2:part:15, ME玻璃线缆 - 黑色
appliedenergistics2:part:16, ME玻璃线缆 - 福鲁伊克斯色
appliedenergistics2:part:420, ME交换监控器
appliedenergistics2:part:360, ME合成终端
appliedenergistics2:part:200, 暗色照明面板
appliedenergistics2:part:260, ME输出总线
appliedenergistics2:part:302, ME流体破坏面板
appliedenergistics2:part:261, ME流体输出总线
appliedenergistics2:part:321, ME流体成型面板
appliedenergistics2:part:241, ME流体输入总线
appliedenergistics2:part:441, ME流体接口
appliedenergistics2:part:281, ME流体标准发信器
appliedenergistics2:part:221, ME流体存储总线
appliedenergistics2:part:520, ME流体终端
appliedenergistics2:part:320, ME成型面板
appliedenergistics2:part:301, ME精准破坏面板
appliedenergistics2:part:240, ME输入总线
appliedenergistics2:part:440, ME接口
appliedenergistics2:part:480, ME接口终端
appliedenergistics2:part:100, ME反相触发总线
appliedenergistics2:part:280, ME标准发信器
appliedenergistics2:part:160, 亮色照明面板
appliedenergistics2:part:469, P2P通道 - FE
appliedenergistics2:part:463, P2P通道 - 流体
appliedenergistics2:part:462, P2P通道 - 物品
appliedenergistics2:part:467, P2P通道 - 光
appliedenergistics2:part:460, P2P通道 - ME
appliedenergistics2:part:461, P2P通道 - 红石
appliedenergistics2:part:340, ME样板终端
appliedenergistics2:part:140, 石英纤维
appliedenergistics2:part:180, 照明面板
appliedenergistics2:part:220, ME存储总线
appliedenergistics2:part:400, ME存储监控器
appliedenergistics2:part:380, ME终端
appliedenergistics2:part:80, ME触发总线
baubles:ring:0, 矿工指环
bibliocraft:bookcase:0, 橡木书架
bibliocraft:bookcase:1, 云杉木书架
bibliocraft:bookcase:2, 白桦木书架
bibliocraft:bookcase:3, 丛林木书架
bibliocraft:bookcase:4, 金合欢木书架
bibliocraft:bookcase:5, 深色橡木书架
bibliocraft:bookcase:6, 镶框书架
bibliocraft:bookcasecreative:0, 橡木书架(创造)
bibliocraft:bookcasecreative:1, 云杉木书架(创造)
bibliocraft:bookcasecreative:2, 白桦木书架(创造)
bibliocraft:bookcasecreative:3, 丛林木书架(创造)
bibliocraft:bookcasecreative:4, 金合欢木书架(创造)
bibliocraft:bookcasecreative:5, 深色橡木书架(创造)
bibliocraft:bookcasecreative:6, 镶框书架(创造)
bibliocraft:shelf:0, 橡木架子
bibliocraft:shelf:1, 云杉木架子
bibliocraft:shelf:2, 白桦木架子
bibliocraft:shelf:3, 丛林木架子
bibliocraft:shelf:4, 金合欢木架子
bibliocraft:shelf:5, 深色橡木架子
bibliocraft:shelf:6, 镶框架子
bibliocraft:markerpole, tile.BiblioCraft:MarkerPole.name
bibliocraft:clipboard, tile.BiblioCraft:Clipboard.name
bibliocraft:lanterngold:0, 精致灯笼
bibliocraft:lanterngold:1, 精致灯笼
bibliocraft:lanterngold:2, 精致灯笼
bibliocraft:lanterngold:3, 精致灯笼
bibliocraft:lanterngold:4, 精致灯笼
bibliocraft:lanterngold:5, 精致灯笼
bibliocraft:lanterngold:6, 精致灯笼
bibliocraft:lanterngold:7, 精致灯笼
bibliocraft:lanterngold:8, 精致灯笼
bibliocraft:lanterngold:9, 精致灯笼
bibliocraft:lanterngold:10, 精致灯笼
bibliocraft:lanterngold:11, 精致灯笼
bibliocraft:lanterngold:12, 精致灯笼
bibliocraft:lanterngold:13, 精致灯笼
bibliocraft:lanterngold:14, 精致灯笼
bibliocraft:lanterngold:15, 精致灯笼
bibliocraft:lanterniron:0, 精致灯笼
bibliocraft:lanterniron:1, 精致灯笼
bibliocraft:lanterniron:2, 精致灯笼
bibliocraft:lanterniron:3, 精致灯笼
bibliocraft:lanterniron:4, 精致灯笼
bibliocraft:lanterniron:5, 精致灯笼
bibliocraft:lanterniron:6, 精致灯笼
bibliocraft:lanterniron:7, 精致灯笼
bibliocraft:lanterniron:8, 精致灯笼
bibliocraft:lanterniron:9, 精致灯笼
bibliocraft:lanterniron:10, 精致灯笼
bibliocraft:lanterniron:11, 精致灯笼
bibliocraft:lanterniron:12, 精致灯笼
bibliocraft:lanterniron:13, 精致灯笼
bibliocraft:lanterniron:14, 精致灯笼
bibliocraft:lanterniron:15, 精致灯笼
bibliocraft:lampgold:0, 精致灯具
bibliocraft:lampgold:1, 精致灯具
bibliocraft:lampgold:2, 精致灯具
bibliocraft:lampgold:3, 精致灯具
bibliocraft:lampgold:4, 精致灯具
bibliocraft:lampgold:5, 精致灯具
bibliocraft:lampgold:6, 精致灯具
bibliocraft:lampgold:7, 精致灯具
bibliocraft:lampgold:8, 精致灯具
bibliocraft:lampgold:9, 精致灯具
bibliocraft:lampgold:10, 精致灯具
bibliocraft:lampgold:11, 精致灯具
bibliocraft:lampgold:12, 精致灯具
